4979589552277712,Sat Dec 16 15:02:08 +0800 2023,【#文明的坐标#丨豫园灯会“点亮”巴黎】豫园位于上海老城厢东北部，是著名的江南古典园林。整座园林规模宏伟、景色佳丽，古人称赞豫园“奇秀甲于东南”“东南名园冠”。豫园灯会是中国传承最久、知名度最广且最受欢迎的新春赏灯游园盛会之一，被列为中国国家级非物质文化遗产，在上海更可谓家喻户晓。今年，豫园灯会出海首站来到法国巴黎，当地时间12月13日晚，法国豫园灯会在巴黎风情园举行开幕仪式。这次灯会主题为“山海有灵”，以《山海经》为设计蓝本，将中国传统灯彩制作技艺与现代新媒体灯光技术结合，为法国人民带来一场充满东方美学色彩的新春游园盛会。之后，中国上海的豫园灯会也将随之点亮，并在灯会举办期间双城联动。一同去看看，感受那份欢乐与趣味。,19,3,4
4979583567005549,Sat Dec 16 14:38:21 +0800 2023,"【#东方甄选掉粉两百万# #东方甄选能否留住董宇辉#】6天内掉粉超200万，“小作文”事件让一度走出阴霾的东方甄选和董宇辉前途再度变得扑朔迷离。12月16日，东方甄选官方抖音账号发公告称，经东方甄选董事会决定，董事长俞敏洪兼任东方甄选CEO职务，免去孙东旭的东方甄选执行董事、 CEO职务，即日生效。东方甄选能否阻止董宇辉被“挖墙脚”？在东方甄选痛失流量的同时，“捡漏”的高途、好未来能否接住“泼天的富贵”，迎来“第二春”？#东方甄选孙东旭被免职#
 http://t.cn/A6lMjfzo",50,10,141
4979572900103477,Sat Dec 16 13:55:58 +0800 2023,【显眼包！#血脉觉醒的18米东北大雪人来袭#】东北的冬季，雪人不会缺席！15日，哈尔滨友谊西路音乐长廊的钟楼高塔中央，18米高“超治愈”大雪人亮相。这个2024版网红微笑雪人头戴红帽子、系着红围脖、胸前两颗红心，脸上洋溢着大大微笑，憨态可掬地邀请人们来哈尔滨游玩。网友：我无法拒绝！！！（赵宇航 刘锡菊）,33,8,46
4979565854722961,Sat Dec 16 13:27:58 +0800 2023,"【#你买过东方甄选吗#】#东方甄选孙东旭被免职#，来聊聊你买过东方甄选吗？#东方甄选任免通知没盖章#
 http://t.cn/A6lMK043 ​​​",80,24,9594
4979563696493054,Sat Dec 16 13:19:24 +0800 2023,【#儿科医生说并非输液才更有效#】#儿科医生的15个小时#首都儿科研究所重症医学科主治医师吕芳在接受中新网采访时表示，接诊时，一些家长认为孩子得了肺炎一定要输液，认为这样更有效。“但其实不是这样的。”她说，很多病毒感染其实不需要输液，且有些尚无对症的抗病毒药物。也有家长为图安心，要求给孩子拍胸片，对此吕芳表示，拍胸片也会有一定的辐射，只有高度怀疑是肺炎，才会给孩子开此类检查。 http://t.cn/A6lMK2JV,30,5,16
4979555425325936,Sat Dec 16 12:46:32 +0800 2023,你#今天中午吃什么#？ ​​​,27,4,23
4979545685891070,Sat Dec 16 12:07:50 +0800 2023,【#元旦假期第一天火车票开抢#】12月16日，按照铁路车票15天的预售期，旅客可以购买元旦假期首日（12月30日）的火车票。今年元旦假期从2023年12月30日起至2024年1月1日止，假期最后一天的返程火车票将于12月18日开售。 ​#元旦假期你有什么安排# ​​​,33,9,19
4979539040276337,Sat Dec 16 11:41:25 +0800 2023,【#东方甄选决定免去孙东旭CEO职务#】东方甄选发布最新通告↓ ​​​#东方甄选孙东旭被免职# ​​​#俞敏洪兼任东方甄选CEO# ​​​http://t.cn/A6lMXST8 ​​​,168,72,883
4979530878160477,Sat Dec 16 11:08:59 +0800 2023,【#大英博物馆有藏品部件被当废品卖#】根据大英博物馆本周最新发布的审查报告，该馆有2000件未展出藏品失踪、被盗或者受损，一些藏品的部件甚至被当成废品出售。 http://t.cn/A6lMxZOz ​​​,38,8,53
4979524863790737,Sat Dec 16 10:45:05 +0800 2023,【#道路结冰车辆难行众人齐推车#】12月15日，山东烟台。路口缓坡处结冰，车辆通行困难众人帮推车。拍摄者许先生称，很多车都堵在缓坡上不去，一位大哥出手帮忙推了至少15辆车上坡。后来很多路人也加入推车中，直到路政给道路撒盐后才离开，感觉挺感动的。@白鹿视频 http://t.cn/A6lIYK6a ​​​,17,5,41
